flow,parker_qs,wilcock_qs,gaeuman_qs,river_mile
1000,0.059261,0.006976,0.017022,291.41
1250,0.206708,0.021491,0.049628,291.41
1500,0.464562,0.049019,0.106467,291.41
2000,1.070636,0.124167,0.247975,291.41
2240,1.349344,0.163158,0.317277,291.41
210,0.017114,0.002667,0.006419,291.79
500,0.042873,0.005994,0.014672,291.79
750,0.120343,0.013519,0.033292,291.79
1000,0.257353,0.025888,0.061649,291.79
1250,0.639349,0.058826,0.133762,291.79
1500,0.729204,0.074163,0.162436,291.79
2000,1.261281,0.141469,0.287382,291.79
2240,1.565909,0.183334,0.362134,291.79
210,0,0,0,291.98
500,0,2e-6,6e-6,291.98
750,5.8e-4,1.97e-4,4.73e-4,291.98
1000,0.011193,0.00163,0.004026,291.98
1250,0.053429,0.005928,0.013987,291.98
1500,0.123463,0.01339,0.029887,291.98
2000,0.354775,0.040912,0.083997,291.98
2240,0.494308,0.059702,0.118785,291.98
210,0,0,0,292.22
500,0,0,0,292.22
750,0,0,0,292.22
1000,0,0,0,292.22
1250,0,0,0,292.22
1500,0,0,0,292.22
2000,0,0,0,292.22
2240,0,0,0,292.22
210,0.043995,0.00557,0.013674,292.29
500,0.596307,0.052248,0.122348,292.29
750,0.597434,0.058288,0.130553,292.29
1000,1.126381,0.101839,0.224306,292.29
1250,1.047488,0.109291,0.231753,292.29
1500,1.27806,0.140802,0.289295,292.29
2000,1.887193,0.227374,0.442069,292.29
2240,2.188831,0.274638,0.522022,292.29
210,0.086533,0.008948,0.021863,292.3
500,0.390026,0.038039,0.086578,292.3
750,0.5843,0.059475,0.130232,292.3
1000,0.858158,0.091276,0.193671,292.3
1250,1.119924,0.123883,0.254122,292.3
1500,1.437977,0.165864,0.330578,292.3
2000,2.117152,0.264511,0.502843,292.3
2240,2.42689,0.314819,0.586927,292.3
210,0.062986,0.006518,0.01611,292.427
500,0.613088,0.061019,0.131447,292.427
750,1.21102,0.131746,0.266002,292.427
1000,1.631109,0.193529,0.372658,292.427
1250,1.95649,0.245328,0.460258,292.427
1500,2.218957,0.289977,0.533836,292.427
2000,2.587241,0.356016,0.641721,292.427
2240,7.726232,0.958467,1.75256,292.427
210,0.187249,0.017008,0.040681,292.428
500,1.389805,0.146067,0.296465,292.428
750,2.250879,0.267218,0.508629,292.428
1000,2.559565,0.32405,0.600046,292.428
1250,2.771449,0.366261,0.666798,292.428
1500,2.917763,0.396876,0.714726,292.428
2000,8.925631,1.207301,2.067054,292.428
2240,7.127369,1.016162,1.73467,292.428
210,0.383394,0.035072,0.08005,292.429
500,2.226567,0.256045,0.493277,292.429
750,3.036072,0.38405,0.708549,292.429
1000,2.857566,0.370603,0.679307,292.429
1250,3.19618,0.417235,0.762003,292.429
1500,3.357506,0.444374,0.807558,292.429
2000,3.038409,0.405893,0.739307,292.429
2240,2.906469,0.390289,0.711045,292.429
210,0.442158,0.039517,0.092677,292.62
500,0.597611,0.056416,0.130656,292.62
750,0.944463,0.089842,0.201832,292.62
1000,1.169084,0.115686,0.251985,292.62
1250,1.342495,0.137642,0.29289,292.62
1500,1.513461,0.160127,0.334052,292.62
2000,1.786068,0.199367,0.403044,292.62
2240,1.948149,0.223114,0.444409,292.62
210,2e-6,9e-6,2.2e-5,292.72
500,0.00351,8.65e-4,0.002101,292.72
750,0.042089,0.005716,0.014086,292.72
1000,0.20001,0.020742,0.05017,292.72
1250,0.406837,0.03977,0.092285,292.72
1500,0.645777,0.064827,0.144631,292.72
2000,1.096418,0.117705,0.247723,292.72
2240,1.357099,0.149521,0.307992,292.72
210,0,0,1e-6,292.74
500,1.1e-4,9.4e-5,2.41e-4,292.74
750,0.004788,0.001031,0.002489,292.74
1000,0.029504,0.0041660000000000004,0.010292,292.74
1250,0.098446,0.011163,0.027071,292.74
1500,0.22248,0.023082,0.054296,292.74
2000,0.57378,0.059385,0.130438,292.74
2240,0.746609,0.079217,0.169394,292.74
210,5e-6,1.7e-5,4.5e-5,292.78
500,0.004411,0.001145,0.002751,292.78
750,0.051888,0.0069,0.01708,292.78
1000,0.203614,0.021169,0.050787,292.78
1250,0.444134,0.044598,0.10207,292.78
1500,0.733412,0.075069,0.164575,292.78
2000,1.369545,0.148714,0.307519,292.78
2240,1.73243,0.193373,0.390893,292.78
210,2.5e-5,3.4e-5,8.7e-5,292.81
500,0.006336,0.001304,0.003153,292.81
750,0.047404,0.006129,0.015111,292.81
1000,0.170745,0.017785,0.042767,292.81
1250,0.379859,0.038016,0.087309,292.81
1500,0.616372,0.063262,0.138855,292.81
2000,1.161158,0.129094,0.264131,292.81
2240,1.473442,0.17094,0.339692,292.81
210,1e-6,6e-6,1.6e-5,292.819
500,0.001,3.63e-4,8.88e-4,292.819
750,0.016822,0.002742,0.006711,292.819
1000,0.085971,0.009909,0.024197,292.819
1250,0.247167,0.025385,0.059488,292.819
1500,0.430898,0.044436,0.099391,292.819
2000,1.004444,0.111469,0.23328,292.819
2240,1.256204,0.142789,0.288403,292.819
210,0,1e-6,2e-6,293.02
500,3.89e-4,2.35e-4,5.97e-4,293.02
750,0.01611,0.002689,0.006595,293.02
1000,0.091209,0.01025,0.025003,293.02
1250,0.421744,0.058496,0.136034,293.02
1500,0.56134,0.054451,0.121093,293.02
2000,1.188574,0.131845,0.266422,293.02
2240,2.2362,0.230176,0.45739,293.02
210,0,0,0,293.42
500,9e-6,1.6e-5,4.2e-5,293.42
750,0.001663,4.28e-4,0.001032,293.42
1000,0.017739,0.002476,0.006107,293.42
1250,0.067689,0.007589,0.018068,293.42
1500,0.156373,0.016823,0.038173,293.42
2000,0.467335,0.050586,0.106716,293.42
2240,0.600481,0.06984,0.141588,293.42
210,0,0,0,294.11
500,0,1e-6,2e-6,294.11
750,2.97e-4,9.2e-5,2.21e-4,294.11
1000,0.007137,9.24e-4,0.002268,294.11
1250,0.034671,0.0037200000000000002,0.008595,294.11
1500,0.085993,0.009319,0.020182,294.11
2000,0.227823,0.027114,0.053819,294.11
2240,0.293838,0.036324,0.070341,294.11
210,0,0,0,294.64
500,0.002296,3.74e-4,9.21e-4,294.64
750,0.039411,0.004164,0.009499,294.64
1000,0.117321,0.012756,0.026997,294.64
1250,0.161201,0.017798,0.0374,294.64
