date,decay_cfd,decay_cfm,decay_sqm,decay_acres_month,flow
1985-08-31,15199.042274813793,471170.3105192276,235585.1552596138,5.408290983921345,13202
1985-09-30,0,0,0,0,4993
1985-10-31,0,0,0,0,5044
1985-11-30,0,0,0,0,4897
1985-12-31,0,0,0,0,3355
1986-01-31,0,0,0,0,3355
1986-02-28,54005.09660017919,1512142.7048050172,756071.3524025086,17.357009926595698,45873
1986-03-31,21442.60851264,664720.86389184,332360.43194592,7.629945636958677,19645
1986-04-30,0,0,0,0,3314
1986-05-31,0,0,0,0,7029
1986-06-30,12855.76166065655,385672.8498196965,192836.42490984825,4.426915172402393,10771
1986-07-31,15473.758430731035,479686.5113526621,239843.25567633106,5.506043518740382,13487
1986-08-31,11660.505403332412,361475.6675033048,180737.8337516524,4.149169737182103,9531
1986-09-30,0,0,0,0,6075
1986-10-31,0,0,0,0,4333
1986-11-30,10144.26500593655,304327.9501780965,152163.97508904824,3.4932042031461945,7958
1986-12-31,0,0,0,0,3417
1987-01-31,0,0,0,0,3379
1987-02-28,0,0,0,0,3365
1987-03-31,0,0,0,0,3339
1987-04-30,0,0,0,0,6587
1987-05-31,11015.645374179308,341485.0065995586,170742.5032997793,3.9197085238700478,8862
1987-06-30,16300.798647492413,489023.95942477236,244511.97971238618,5.61322267475634,14345
1987-07-31,16366.34495837793,507356.6937097158,253678.3468548579,5.82365350906469,14413
1987-08-31,12087.520340424826,374713.1305531696,187356.5652765848,4.301114905339412,9974
1987-09-30,0,0,0,0,4703
1987-10-31,0,0,0,0,6556
1987-11-30,0,0,0,0,4756
1987-12-31,0,0,0,0,3363
1988-01-31,0,0,0,0,3328
1988-02-29,0,0,0,0,3327
1988-03-31,0,0,0,0,3898
1988-04-30,0,0,0,0,5276
1988-05-31,0,0,0,0,6234
1988-06-30,14388.388635773792,431651.65907321376,215825.82953660688,4.95467928229125,12361
1988-07-31,15469.902765384828,479566.9857269297,239783.49286346484,5.5046715533394135,13483
1988-08-31,10580.919106394482,328008.49229822896,164004.24614911448,3.765019424910801,8411
1988-09-30,0,0,0,0,4384
1988-10-31,0,0,0,0,5330
1988-11-30,0,0,0,0,3364
1988-12-31,0,0,0,0,3349
1989-01-31,0,0,0,0,3359
1989-02-28,0,0,0,0,3355
1989-03-31,0,0,0,0,3353
1989-04-30,0,0,0,0,3112
1989-05-31,12157.886232993103,376894.4732227862,188447.2366113931,4.326153273907096,10047
1989-06-30,11331.809932568274,339954.2979770482,169977.1489885241,3.902138406531775,9190
1989-07-31,16130.185455922758,500035.7491336055,250017.87456680275,5.739620628255343,14168
1989-08-31,12068.242013693793,374115.5024245076,187057.7512122538,4.294255078334568,9954
1989-09-30,0,0,0,0,3345
1989-10-31,0,0,0,0,4168
1989-11-30,0,0,0,0,4635
1989-12-31,0,0,0,0,3728
1990-01-31,0,0,0,0,3358
1990-02-28,0,0,0,0,3336
1990-03-31,0,0,0,0,3354
1990-04-30,0,0,0,0,3657
1990-05-31,0,0,0,0,3751
1990-06-30,0,0,0,0,5486
1990-07-31,11568.93335136,358636.93389215996,179318.46694607998,4.11658555890909,9436
1990-08-31,0,0,0,0,5894
1990-09-30,0,0,0,0,3911
1990-10-31,0,0,0,0,3826
1990-11-30,0,0,0,0,3552
1990-12-31,0,0,0,0,3363
1991-01-31,0,0,0,0,3392
1991-02-28,0,0,0,0,3354
1991-03-31,0,0,0,0,3340
1991-04-30,0,0,0,0,3098
1991-05-31,0,0,0,0,4864
1991-06-30,0,0,0,0,6339
1991-07-31,10693.697317771033,331504.61685090204,165752.30842545102,3.8051494128891417,8528
1991-08-31,0,0,0,0,7292
1991-09-30,0,0,0,0,3791
1991-10-31,0,0,0,0,4377
1991-11-30,0,0,0,0,5152
1991-12-31,0,0,0,0,3336
1992-01-31,0,0,0,0,3346
1992-02-29,0,0,0,0,3347
1992-03-31,0,0,0,0,3290
1992-04-30,0,0,0,0,3151
1992-05-31,0,0,0,0,7153
1992-06-30,10670.56332569379,320116.8997708137,160058.44988540685,3.6744364069193494,8504
1992-07-31,13182.529298747584,408658.4082611751,204329.20413058755,4.69075307921459,11110
1992-08-31,9975.579647039998,309242.96905823995,154621.48452911997,3.549620856958677,7783
1992-09-30,0,0,0,0,3194
1992-10-31,0,0,0,0,4027
1992-11-30,0,0,0,0,3608
1992-12-31,0,0,0,0,3350
1993-01-31,0,0,0,0,3322
1993-02-28,0,0,0,0,5557
1993-03-31,20510.1083932416,635813.3601904896,317906.6800952448,7.298133151865123,18694
1993-04-30,0,0,0,0,4411
1993-05-31,11374.22225137655,352600.88979267306,176300.44489633653,4.0473013061601595,9234
1993-06-30,9927.383830212413,297821.5149063724,148910.7574531862,3.4185206026902253,7733
1993-07-31,15865.108463371034,491818.36236450204,245909.18118225102,5.645298006938729,13893
1993-08-31,10413.197663834482,322809.12757886894,161404.56378943447,3.7053389299686517,8237
1993-09-30,11004.078378140688,330122.35134422063,165061.17567211032,3.7892831880649753,8850
1993-10-31,0,0,0,0,5846
1993-11-30,11772.319698372412,353169.59095117234,176584.79547558617,4.0538290972356785,9647
1993-12-31,0,0,0,0,3325
1994-01-31,0,0,0,0,3370
1994-02-28,0,0,0,0,3373
1994-03-31,0,0,0,0,3294
1994-04-30,0,0,0,0,7121
1994-05-31,0,0,0,0,6190
1994-06-30,13723.286363553103,411698.5909065931,205849.29545329654,4.725649574226275,11671
1994-07-31,16414.540775205518,508850.76403137104,254425.38201568552,5.840803076576803,14463
1994-08-31,13152.647892314482,407732.08466174896,203866.04233087448,4.680120347357081,11079
1994-09-30,0,0,0,0,3962
1994-10-31,0,0,0,0,4585
1994-11-30,0,0,0,0,4192
1994-12-31,0,0,0,0,3351
1995-01-31,16168.742109384828,501231.00539092964,250615.50269546482,5.753340282265032,14208
1995-02-28,0,0,0,0,7008
1995-03-31,55705.82024689919,1726880.4276538747,863440.2138269374,19.821859821555037,47423
1995-04-30,0,0,0,0,7366
1995-05-31,12289.942771100688,380988.22590412135,190494.11295206068,4.373143088890282,10184
1995-06-30,10176.074245042757,305282.2273512827,152641.11367564136,3.5041577978797376,7991
1995-07-31,11675.92806471724,361953.77000623447,180976.88500311723,4.154657598785978,9547
1995-08-31,13196.02412745931,409076.7479512386,204538.3739756193,4.695554958117982,11124
1995-09-30,13413.869219519998,402416.0765855999,201208.03829279996,4.6191009709090896,11350
1995-10-31,9918.708583183447,307479.9660786868,153739.9830393434,3.529384367294385,7724
1995-11-30,13826.425411564138,414792.76234692417,207396.38117346208,4.761165775332004,11778
1995-12-31,0,0,0,0,3330
1996-01-31,0,0,0,0,5334
1996-02-29,41506.4624550912,1162180.9487425536,581090.4743712768,13.340001707329586,37157
1996-03-31,14275.61042439724,442543.9231563145,221271.96157815724,5.079705270389285,12244
1996-04-30,0,0,0,0,3016
1996-05-31,12649.483564634482,392133.99050366896,196066.99525183448,4.501078862530635,10557
1996-06-30,10896.119748446896,326883.5924534069,163441.79622670345,3.752107351393559,8738
1996-07-31,15778.355993081379,489129.0357855228,244564.5178927614,5.614428785416928,13803
1996-08-31,10936.604234582068,339034.7312720441,169517.36563602206,3.891583233150185,8780
1996-09-30,13621.11123187862,408633.3369563586,204316.6684781793,4.690465300233685,11565
1996-10-31,11767.500116689655,364792.5036173793,182396.25180868965,4.187241777058991,9642
1996-11-30,13024.447019553103,390733.4105865931,195366.70529329655,4.485002417201482,10946
1996-12-31,23094.830070144,715939.7321744639,357969.86608723196,8.217857348191735,21330
1997-01-31,40920.7717126656,1268543.9230926335,634271.9615463167,14.560880659924626,36771
1997-02-28,0,0,0,0,3503
1997-03-31,0,0,0,0,3352
1997-04-30,0,0,0,0,6553
1997-05-31,10361.146181660688,321195.5316314813,160597.76581574065,3.6868173970555707,8183
1997-06-30,12270.664444369653,368119.9333310896,184059.9666655448,4.225435414727842,10164
1997-07-31,15821.732228226207,490473.6990750124,245236.8495375062,5.629863396177829,13848
1997-08-31,9996.785806444137,309900.35999976826,154950.17999988413,3.5571666666640067,7805
1997-09-30,16404.90161184,492147.0483552,246073.5241776,5.649070802975206,14453
1997-10-31,10949.13514695724,339423.18955567444,169711.59477783722,3.896042120703334,8793
1997-11-30,11988.236957759998,359647.10873279994,179823.55436639997,4.128180770578512,9871
1997-12-31,0,0,0,0,3325
1998-01-31,14979.26935008,464357.34985248,232178.67492624,5.330088956066116,12974
1998-02-28,60478.81886833919,1693406.9283134975,846703.4641567487,19.437636918199008,51773
1998-03-31,20249.2829129472,627727.7703013632,313863.8851506816,7.205323350566611,18428
1998-04-30,0,0,0,0,3162
1998-05-31,16245.855416308965,503621.5179055779,251810.75895278895,5.7807795902844115,14288
1998-06-30,18157.301511691032,544719.045350731,272359.5226753655,6.252514294659447,16271
1998-07-31,15531.593410924137,481479.39573864825,240739.69786932413,5.526622999754916,13547
1998-08-31,14833.717983260689,459845.25748108135,229922.62874054068,5.278297262179538,12823
1998-09-30,13515.08043485793,405452.4130457379,202726.20652286895,4.6539533177885435,11455
1998-10-31,11325.062518212413,351076.9380645848,175538.4690322924,4.029808747297805,9183
1998-11-30,13686.657542764136,410599.72628292406,205299.86314146203,4.713036343927044,11633
1998-12-31,14317.058826868964,443828.8236329379,221914.41181646896,5.094453898449701,12287
1999-01-31,10313.914281169655,319731.3427162593,159865.67135812965,3.670010820893702,8134
1999-02-28,29853.833942015997,835907.3503764479,417953.67518822395,9.594896124614875,27910
1999-03-31,15609.670634184826,483899.7896597296,241949.8948298648,5.554405299124536,13628
1999-04-30,0,0,0,0,3253
1999-05-31,10231.017476226205,317161.54176301236,158580.77088150618,3.6405135647728692,8048
1999-06-30,10773.702373704826,323211.0712111448,161605.5356055724,3.709952608025078,8611
1999-07-31,16333.571802935172,506340.72589099035,253170.36294549517,5.811991803156455,14379
1999-08-31,10655.140664308965,330309.3605935779,165154.68029678895,3.7914297588794525,8488
1999-09-30,15306.036988171032,459181.109645131,229590.5548225655,5.270673893998289,13313
1999-10-31,12099.087336463446,375071.70743036683,187535.85371518342,4.305230801542319,9986
1999-11-30,15273.263832728275,458197.91498184827,229098.95749092413,5.25938837215161,13279
1999-12-31,0,0,0,0,5792
2000-01-31,0,0,0,0,3374
2000-02-29,35295.2489304576,988266.9700528128,494133.4850264064,11.343743917043307,32459
2000-03-31,10749.604465291033,333237.73842402204,166618.86921201102,3.8250429112031914,8586
2000-04-30,0,0,0,0,4894
2000-05-31,0,0,0,0,5713
2000-06-30,14164.760045693793,424942.8013708138,212471.4006854069,4.877672192043318,12129
2000-07-31,16206.334846510345,502396.3802418207,251198.19012091035,5.76671694492448,14247
2000-08-31,12193.551137445516,378000.085260811,189000.0426304055,4.338843953866059,10084
2000-09-30,11947.752471624826,358432.5741487448,179216.2870743724,4.1142398318267315,9829
2000-10-31,10633.934504904826,329651.9696520496,164825.9848260248,3.783883949174123,8466
2000-11-30,13463.992869020689,403919.78607062064,201959.89303531032,4.636361180792248,11402
2000-12-31,0,0,0,0,5527
